OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
5365,滨河路,bhl,595670,232959,1,090a,30,2,2,1,,196799,196797,5,0.194,1,0,,0,1,0,110109,110109,1,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00178662954
5366,滨河路,bhl,595670,232966,1,090a,30,2,2,1,,196808,196803,5,0.241,1,0,,0,1,0,110109,110109,1,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00220746690
5367,滨河路,bhl,595670,232968,1,090a,30,2,2,1,,196811,196808,5,0.068,1,0,,0,1,0,110109,110109,1,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00062620738
5368,滨河路,bhl,595670,232970,1,090a,30,2,2,1,,196814,196811,5,0.107,1,0,,0,1,0,110109,110109,1,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00099015498
5373,滨河路,bhl,595670,233945,1,090a,30,2,2,1,,208031,196818,5,0.087,1,0,,0,1,0,110109,110109,1,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00079023512
5374,,,595670,233949,1,0904,30,1,2,1,,201790,196816,5,0.008,1,0,,0,1,0,110109,110109,1,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,4,0.00009074661
5375,滨河路,bhl,595670,233952,3,0904|090a|0917,30,1,2,1,,201786,196808,5,0.009,1,0,,0,1,0,110109,110109,1,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,4,0.00010076995
5376,滨河路,bhl,595670,235799,1,090a,30,3,2,1,,196816,203208,5,0.045,1,0,,0,1,0,110109,110109,1,,,7,,1,1,11110001110000000000000000000000,0,0,,,,150,,,0,,4,0.00042150973
5377,滨河路,bhl,595670,235800,1,090a,30,3,2,1,,203208,196809,5,0.121,1,0,,0,1,0,110109,110109,1,,,7,,1,1,11110001110000000000000000000000,0,0,,,,150,,,0,,4,0.00111322206
5378,石门路,sml,595670,235967,1,090a,30,2,2,1,,204066,204084,5,0.169,1,0,,0,1,0,110109,110109,0,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00192864191
5380,石门路,sml,595670,236929,1,090a,30,2,2,1,,204048,201808,5,0.146,1,0,,0,1,0,110107,110107,0,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00169065641
5381,石门路,sml,595670,236930,1,090a,30,2,2,1,,204051,196680,5,0.067,1,0,,0,1,0,110109,110109,0,,,7,1,,1,11110001110000000000000000000000,0,0,,,150,,,,0,,4,0.00076199136
