OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
1313246,,,605701,7836376,1,0814,55,1,2,1,,6210621,6210620,5,0.127,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00146525635
1313247,,,605701,7836377,1,0814,55,1,2,1,,6210621,6210622,5,0.156,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00158319827
1313248,,,605701,7836378,2,0800|0814,55,3,2,1,,6210623,6210619,5,0.066,1,0,,0,1,0,110117,110117,0,,,7,,2,2,11110001110000000000000000000000,0,0,,,,150,,,0,,8,0.00067920857
1313249,,,605701,7836379,1,0814,55,1,2,1,,6210618,6210619,5,0.090,1,0,,0,1,0,110117,110117,0,,,7,1,1,2,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00093455201
1313250,,,605701,7836380,2,0800|0814,55,3,2,1,,6210619,6210624,5,0.032,1,0,,0,1,0,110117,110117,0,,,7,,2,2,11110001110000000000000000000000,0,0,,,,150,,,0,,8,0.00036228825
1313251,,,605701,7836381,2,0800|0814,55,3,2,1,,6210624,6210623,5,0.034,1,0,,0,1,0,110117,110117,0,,,7,,2,2,11110001110000000000000000000000,0,0,,,,150,,,0,,8,0.00031883731
1313262,,,605701,7836403,1,0801,30,1,2,1,,10006210625,10006210626,5,0.363,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00386001295
1320234,罗城子路,lczl,605712,7948814,1,0801,30,1,2,1,,5998961,5999069,5,0.813,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00836292815
1320235,,,605712,7948815,1,0801,30,1,2,1,,5998962,5998963,5,0.150,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00137185780
1320250,,,605712,7948837,1,0801,30,1,2,1,,5998993,5998994,5,0.199,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00183699959
1320251,,,605712,7948841,1,0801,55,1,2,1,,5998998,5998999,5,0.504,1,1,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00542370170
1320263,洙水外环路,zswhl,605712,7948870,1,0801,30,1,2,1,,5999041,10005999040,5,0.080,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00078821111
1320264,,,605712,7948872,1,0801,30,1,2,1,,10005999043,5999044,5,0.085,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00079989051
1320265,罗汉石路,lhsl,605712,7948876,1,0801,30,1,2,1,,5999047,5999049,5,0.449,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00437549798
1320266,,,605712,7948877,1,0801,30,1,2,1,,5999049,10005999048,5,0.224,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00221935137
1320267,,,605712,7948878,1,0801,30,1,2,1,,5999049,5999050,5,0.010,1,0,,0,1,0,110117,110117,0,,,7,1,1,1,11110001110000000000000000000000,0,0,,,150,150,,,0,,8,0.00009975607
