OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
15395,京福路,jfl,595643,198015,1,0201,55,1,2,1,,172052,177204,2,0.264,1,1,,0,1,0,110115,110115,0,,,5,1,1,1,11110001110000000000000000000000,0,0,,,700,700,1,1,0,,5,0.00242555753
15396,京福路,jfl,595643,198026,1,0204,55,1,2,1,,177204,177212,2,0.017,1,1,,0,1,0,110115,110115,0,,,5,1,1,1,11110001110000000000000000000000,0,0,,,700,700,1,1,0,,5,0.00015517645
15397,京福路,jfl,595643,198027,1,0201,55,1,2,1,,177212,172144,2,0.173,1,1,,0,1,0,110115,110115,0,,,5,1,1,1,11110001110000000000000000000000,0,0,,,700,700,1,1,0,,5,0.00159336933
15398,京福路,jfl,595643,198771,1,0201,55,1,2,1,,172143,177342,2,0.070,1,1,,0,1,0,110115,110115,0,,,5,1,1,1,11110001110000000000000000000000,0,0,,,600,700,3,3,0,,5,0.00069444823
15399,京福路,jfl,595643,198773,1,0201,55,1,2,1,,177342,172214,2,0.760,1,1,,0,1,0,110115,110115,0,,,5,1,1,1,11110001110000000000000000000000,0,0,,,600,700,3,3,0,,5,0.00764761156
15400,京福路,jfl,595643,199559,1,0201,55,1,2,1,,175532,178023,2,0.221,1,1,,0,1,0,110115,110115,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,700,400,3,3,0,,5,0.00233784532
15401,京福路,jfl,595643,199560,1,0201,55,1,2,1,,178023,172171,2,0.012,1,1,,0,1,0,110115,110115,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,700,400,3,3,0,,5,0.00012216141
15402,京福路,jfl,595643,200061,1,0201,55,1,2,1,,173790,178037,2,0.158,1,1,,0,1,0,110115,110115,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,1,1,0,,5,0.00156215507
15403,京福路,jfl,595643,200063,1,0201,55,1,2,1,,178037,172217,2,0.090,1,1,,0,1,0,110115,110115,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,1,1,0,,5,0.00088741550
15404,京福路,jfl,595643,207811,1,0201,55,1,2,1,,175514,175516,2,0.027,1,1,,0,1,0,110115,110115,0,,,6,1,1,1,11110001110000000000000000000000,0,0,,,400,400,1,1,0,,5,0.00025597929
