OBJECTID,NAME,PYNAME,MAPID,ID,KIND,SNODE_ID,ENODE_ID,Shape_Leng
1,地铁机场线,dtjcx,595674,10000025898,0245,210000003838,110000006884,0.00096595958
2,地铁9号线,dt9hx,595652,10000029258,0246,10000021624,110000024817,0.02754660731
3,地铁13号线,dt13hx,605603,10000014012,0245,10000020462,10000016785,0.05086723185
4,地铁2号线,dt2hx,595672,10000028116,0246,10000004867,210000018586,0.01572608485
5,地铁10号线,dt10hx,595663,10000002739,0246,10000002446,110000003297,0.00828261309
6,地铁机场线,dtjcx,605604,10000011388,0245,10000175853,10000175852,0.01510906073
7,地铁6号线,dt6hx,595672,10046245204,0246,10000013994,10046243323,0.02165685242
8,地铁14号线,dt14hx,595661,10046245205,0245,10046243324,10046243325,0.05457430172
9,地铁14号线,dt14hx,595661,10046245209,0246,10046243324,110046243328,0.01736660215
10,地铁机场线,dtjcx,595673,10000003194,0245,10000175848,110000003838,0.04956811265
11,地铁机场线,dtjcx,605604,10000011389,0245,10000175854,10000175852,0.01120806932
12,地铁4号线,dt4hx,595672,10000003973,0246,210000004145,10000004799,0.01599358355
13,地铁6号线,dt6hx,595672,10000003974,0246,10000004867,10000004799,0.01722043028
14,地铁10号线,dt10hx,595663,10000015370,0246,10000011825,10000018396,0.06699411521
15,地铁6号线,dt6hx,595672,10000004031,0246,10000022080,10000004867,0.03000207074
16,地铁2号线,dt2hx,595672,10000004032,0246,10000019380,10000004867,0.00811910037
17,地铁8号线,dt8hx,595673,10000002372,0246,10000017996,10000002861,0.02811276369
18,地铁10号线,dt10hx,595673,10000002373,0246,10000012380,10000002861,0.02333490990
19,地铁1号线,dt1hx,595664,10000012544,0246,210000016805,10000015007,0.01689922004
20,地铁房山线,dtfsx,595651,10000025862,0245,210000019165,110000006639,0.10635181857
21,地铁9号线,dt9hx,595662,10000019430,0246,210000024817,10000023191,0.05353211105
22,地铁10号线,dt10hx,595662,10000019431,0246,10000014736,10000023191,0.03048201929
23,地铁8号线,dt8hx,595673,10000015029,0246,10000002656,10000017996,0.03631594129
24,地铁6号线,dt6hx,595674,10000957737,0246,10000954574,110000024638,0.09752932613
25,地铁5号线,dt5hx,595673,10000010547,0246,10000012380,10000012596,0.01437446512
