OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
233,阜石路,fsl,595670,244491,2,0102|010c,130,2,2,1,,208265,198339,2,0.049,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00056851763
234,阜石路,fsl,595670,244493,2,0102|010c,55,2,2,1,,208240,208266,2,0.133,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00154924706
235,阜石路,fsl,595670,244495,2,0102|010c,55,2,2,1,,208237,208267,2,0.028,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00031692194
236,阜石路,fsl,595670,244498,2,0102|010c,55,2,2,1,,208267,208236,2,0.231,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00266330176
237,阜石路,fsl,595670,244500,2,0102|010c,130,2,2,1,,208243,208268,1,0.029,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00032632715
238,阜石路,fsl,595670,244528,2,0102|010c,130,2,2,1,,208236,208287,2,0.085,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00098897001
239,阜石路,fsl,595670,244530,2,0102|010c,130,2,2,1,,208287,208265,2,0.051,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00058988066
240,阜石路,fsl,595670,244532,2,0102|010c,55,2,2,1,,208266,208290,2,0.085,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00097765600
241,阜石路,fsl,595670,244534,2,0102|010c,55,2,2,1,,208290,208243,2,0.150,1,1,,0,1,0,110107,110107,1,,,4,3,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00172173538
242,阜石路,fsl,595670,244535,2,0102|010c,130,2,2,1,,197969,208237,1,0.027,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00030441981
243,阜石路,fsl,595670,244537,2,0102|010c,130,2,2,1,,208268,197972,1,0.104,1,1,,0,1,0,110107,110107,1,,,4,4,,3,11100001110000000000000000000000,0,0,,,800,,1,,0,,1,0.00119241321
