OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
935,,,595643,227354,1,0b01,30,1,2,1,,178208,10000178209,5,0.028,1,0,,0,1,0,110115,110115,0,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00027534453
937,,,605632,242520,1,0b01,30,1,2,1,,170037,170038,5,0.089,1,0,,0,1,0,110114,110114,0,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00089059239
938,,,605632,243749,1,0b01,30,1,2,1,,20001108437,170011,5,0.449,1,0,,0,1,0,110114,110114,0,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00468336578
939,,,595670,245028,1,0b01,30,1,2,1,,206100,196253,5,0.105,1,0,,0,1,0,110109,110109,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00101163583
942,环湖东路,hhdl,605635,276177,1,0b01,30,1,2,1,,223358,223359,5,0.197,1,0,,0,1,0,110116,110116,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00177534031
943,,,595661,277355,1,0b14,30,1,2,1,,263119,278819,5,0.203,1,0,,0,1,0,110106,110106,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00214299922
951,,,595661,283669,1,0b14,30,1,2,1,,263120,260004,5,0.041,1,0,,0,1,0,110106,110106,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00036989260
952,,,595661,283672,1,0b14,30,1,2,1,,263119,263120,5,0.032,1,0,,0,1,0,110106,110106,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00029050159
953,,,595661,283675,1,0b14,30,1,2,1,,260000,10000544892,5,0.006,1,0,,0,1,0,110106,110106,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00007002001
954,,,595661,284935,1,0b01,30,1,2,1,,271648,268166,5,0.274,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00309997558
955,,,595661,284944,1,0b01,30,1,2,1,,268173,268174,5,0.088,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00103391323
956,,,595661,285980,1,0b14,30,1,2,1,,259995,260000,5,0.050,1,0,,0,1,0,110106,110106,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00044998137
957,,,595661,285984,1,0b14,30,1,2,1,,10000544858,259995,5,0.004,1,0,,0,1,0,110106,110106,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00005004000
958,,,595661,288849,1,0b01,30,1,2,1,,282139,282140,5,0.027,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00024268041
959,,,595661,288855,1,0b01,30,1,2,1,,282139,282137,5,0.117,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00116504113
960,,,595661,288862,1,0b01,30,1,2,1,,282138,282135,5,0.060,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00063766265
961,,,595661,288870,1,0b01,30,1,2,1,,282137,282141,5,0.018,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00018624620
962,,,595661,289166,1,0b01,30,1,2,1,,282141,282138,5,0.015,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00016021331
963,,,595661,289170,1,0b01,30,1,2,1,,282138,282137,5,0.021,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00021954518
964,,,595661,289186,1,0b01,30,1,2,1,,282136,282145,5,0.010,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00012024021
965,,,595661,289189,1,0b01,30,1,2,1,,282145,282139,5,0.026,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00030078048
966,,,595661,289192,1,0b01,30,1,2,1,,282146,282147,5,0.115,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00121443874
967,,,595661,289194,1,0b01,30,1,2,1,,282147,282148,5,0.064,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00063487175
968,,,595661,289197,1,0b01,30,1,2,1,,282148,282149,5,0.055,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00052594650
969,,,595661,289198,1,0b01,30,1,2,1,,282147,282150,5,0.011,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00010402438
970,,,595661,289201,1,0b01,30,1,2,1,,282150,282148,5,0.040,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00036153431
971,,,595661,289203,1,0b01,30,1,2,1,,282150,282151,5,0.097,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00101983039
972,,,595661,289206,1,0b01,30,1,2,1,,282151,282152,5,0.049,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00044616144
973,,,595661,289208,1,0b01,30,1,2,1,,282152,282153,5,0.053,1,0,,0,1,0,110107,110107,1,,,8,1,1,1,00010000000000000000000000000000,0,0,,,100,100,,,0,,3,0.00056464364
