OBJECTID,NAME,PYNAME,MAPID,ID,KIND_NUM,KIND,WIDTH,DIRECTION,TOLL,CONST_ST,UNDCONCRID,SNODEID,ENODEID,FUNCCLASS,LENGTH,DETAILCITY,THROUGH,UNTHRUCRID,OWNERSHIP,ROAD_COND,SPECIAL,ADMINCODEL,ADMINCODER,UFLAG,ONEWAYCRID,ACCESSCRID,SPEEDCLASS,LANENUMS2E,LANENUME2S,LANENUM,VEHCL_TYPE,ELEVATED,STRUCTURE,USEFEECRID,USEFEETYPE,SPDLMTS2E,SPDLMTE2S,SPDSRCS2E,SPDSRCE2S,DC_TYPE,NOPASSCRID,TYPE,Shape_Leng
11492,六环,lh,595643,195642,2,0002|000c,55,2,1,1,,172227,176438,1,0.331,1,1,,0,1,0,110115,110115,0,,,3,2,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,2,0.00386183839
11493,六环,lh,595643,195643,2,0002|000c,55,2,1,1,,172974,176439,1,0.739,1,1,,0,1,0,110115,110115,0,,,3,2,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,2,0.00862688687
11494,六环,lh,595643,195644,2,0002|000c,55,3,1,1,,176440,172230,1,1.538,1,1,,0,1,0,110115,110115,0,,,4,,2,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,2,0.01779017841
11495,六环,lh,595643,197980,2,0002|000c,55,2,1,1,,177183,172965,1,0.117,1,1,,0,1,0,110115,110115,0,,,4,2,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,2,0.00135594815
11496,六环,lh,595643,197981,2,0002|000c,55,2,1,1,,177184,177183,1,0.082,1,1,,0,1,0,110115,110115,0,,,3,2,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,2,0.00095039117
11497,六环,lh,595643,197984,2,0002|000c,55,2,1,1,,177186,175590,1,0.117,1,1,,0,1,0,110115,110115,0,,,3,2,,2,11100001110000000000000000000000,0,0,,,1000,,1,,0,,2,0.00129885126
11498,六环,lh,595643,197985,2,0002|000c,55,3,1,1,,177187,172235,1,0.142,1,1,,0,1,0,110115,110115,0,,,3,,2,2,11100001110000000000000000000000,0,0,,,,1000,,1,0,,2,0.00164497636
11499,六环,lh,595643,198002,2,0002|000c,55,2,1,1,,172965,172231,1,0.075,1,1,,0,1,0,110115,110115,0,,,4,2,,2,11100001110000000000000000000000,0,0,,,800,,1,,0,,2,0.00086609609
11500,六环,lh,595643,207987,2,0002|000c,55,3,1,1,,176431,176286,1,0.033,1,1,,0,1,0,110115,110115,0,,,3,,2,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,2,0.00038033706
11501,六环,lh,595643,207990,2,0002|000c,55,3,1,1,,176432,176431,1,0.227,1,1,,0,1,0,110115,110115,0,,,3,,2,2,11100001110000000000000000000000,0,0,,,,800,,1,0,,2,0.00264282446
